z1,z2,hexcol,celltype,celltypeID,cellclass
-0.2336018,0.7882994,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3104234,0.6647555,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.4217609,1.016406,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3024846,0.7290052,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2849615,0.7648923,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3369605,0.6829013,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2432667,0.8510891,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3237787,0.7101248,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3446199,0.6748624,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3162941,0.7386558,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3125777,0.7438843,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2821661,1.025671,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3589534,0.8639393,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3015529,0.7279447,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3230909,0.7537808,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3220175,0.713928,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3203258,0.7224157,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.1726535,0.4575197,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2559364,0.7752144,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3200563,0.6777813,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3063669,0.7106454,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3166177,0.6898854,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2987317,0.8202598,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2332829,0.7945694,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.317145,0.7229664,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.253333,0.7557953,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2701121,0.7481938,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2345725,0.794893,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.273082,0.615293,#81B389,ALM L2/3 IT S100a3,54,0
-0.2670205,0.759312,#81B389,ALM L2/3 IT S100a3,54,0
-0.3378778,0.7157801,#81B389,ALM L2/3 IT S100a3,54,0
-0.4531884,0.4097068,#81B389,ALM L2/3 IT S100a3,54,0
-0.4039252,0.5001011,#81B389,ALM L2/3 IT S100a3,54,0
-0.3545599,0.6868097,#81B389,ALM L2/3 IT S100a3,54,0
-0.3002629,0.6782098,#81B389,ALM L2/3 IT S100a3,54,0
-0.3058953,0.6866747,#81B389,ALM L2/3 IT S100a3,54,0
-0.2238908,0.6078765,#81B389,ALM L2/3 IT S100a3,54,0
-0.3796977,0.4950359,#81B389,ALM L2/3 IT S100a3,54,0
-0.3474921,0.707889,#81B389,ALM L2/3 IT S100a3,54,0
-0.317245,0.6967438,#81B389,ALM L2/3 IT S100a3,54,0
-0.3602528,0.541299,#81B389,ALM L2/3 IT S100a3,54,0
-0.3244331,0.6961496,#81B389,ALM L2/3 IT S100a3,54,0
-0.317715,0.7017613,#81B389,ALM L2/3 IT S100a3,54,0
-0.3860089,0.4823718,#81B389,ALM L2/3 IT S100a3,54,0
-0.2893484,0.7695765,#81B389,ALM L2/3 IT S100a3,54,0
-0.270803,0.7315418,#81B389,ALM L2/3 IT S100a3,54,0
-0.3639004,0.5064237,#81B389,ALM L2/3 IT S100a3,54,0
-0.3239608,0.6717486,#81B389,ALM L2/3 IT S100a3,54,0
-0.325346,0.7105222,#81B389,ALM L2/3 IT S100a3,54,0
-0.2948899,0.7516766,#81B389,ALM L2/3 IT S100a3,54,0
-0.3062679,0.7372833,#81B389,ALM L2/3 IT S100a3,54,0
-0.3411981,0.6834118,#81B389,ALM L2/3 IT S100a3,54,0
-0.5107908,0.3731845,#81B389,ALM L2/3 IT S100a3,54,0
-0.3354654,0.6991387,#81B389,ALM L2/3 IT S100a3,54,0
-0.2293003,0.6284618,#81B389,ALM L2/3 IT S100a3,54,0
-0.3167959,0.6690943,#81B389,ALM L2/3 IT S100a3,54,0
-0.2615702,0.7683209,#81B389,ALM L2/3 IT S100a3,54,0
-0.3318613,0.6789243,#81B389,ALM L2/3 IT S100a3,54,0
-0.3344052,0.7052018,#81B389,ALM L2/3 IT S100a3,54,0
-0.3439609,0.6901249,#81B389,ALM L2/3 IT S100a3,54,0
-0.3418356,0.6665569,#81B389,ALM L2/3 IT S100a3,54,0
-0.3393971,0.6763245,#81B389,ALM L2/3 IT S100a3,54,0
-0.3026703,0.6920416,#81B389,ALM L2/3 IT S100a3,54,0
-0.4930348,0.434892,#81B389,ALM L2/3 IT S100a3,54,0
-0.3124999,0.6852313,#81B389,ALM L2/3 IT S100a3,54,0
-0.3001736,0.7190685,#81B389,ALM L2/3 IT S100a3,54,0
-0.2976975,0.7055609,#81B389,ALM L2/3 IT S100a3,54,0
-0.3124352,0.6673375,#81B389,ALM L2/3 IT S100a3,54,0
-0.3259938,0.7273786,#81B389,ALM L2/3 IT S100a3,54,0
-0.5075238,0.4190742,#81B389,ALM L2/3 IT S100a3,54,0
-0.2624578,0.7466806,#81B389,ALM L2/3 IT S100a3,54,0
-0.3123689,0.6909245,#81B389,ALM L2/3 IT S100a3,54,0
-0.3451887,0.6850824,#81B389,ALM L2/3 IT S100a3,54,0
-0.3337426,0.6926135,#81B389,ALM L2/3 IT S100a3,54,0
-0.2249924,0.7977722,#81B389,ALM L2/3 IT S100a3,54,0
-0.3156171,0.6986851,#81B389,ALM L2/3 IT S100a3,54,0
-0.2221146,0.7913621,#81B389,ALM L2/3 IT S100a3,54,0
-0.3379491,0.6762738,#81B389,ALM L2/3 IT S100a3,54,0
-0.2953428,0.7444077,#81B389,ALM L2/3 IT S100a3,54,0
-0.3234644,0.6650338,#81B389,ALM L2/3 IT S100a3,54,0
-0.3599984,0.6964387,#81B389,ALM L2/3 IT S100a3,54,0
-0.2433957,0.7764544,#81B389,ALM L2/3 IT S100a3,54,0
-0.3345204,0.6780834,#81B389,ALM L2/3 IT S100a3,54,0
-0.3369537,0.6533949,#81B389,ALM L2/3 IT S100a3,54,0
-0.2402582,0.8019514,#81B389,ALM L2/3 IT S100a3,54,0
-0.2677292,0.7255091,#81B389,ALM L2/3 IT S100a3,54,0
-0.2852719,0.7201402,#81B389,ALM L2/3 IT S100a3,54,0
-0.3235357,0.7019264,#81B389,ALM L2/3 IT S100a3,54,0
-0.3287432,0.7098624,#81B389,ALM L2/3 IT S100a3,54,0
-0.306073,0.7038671,#81B389,ALM L2/3 IT S100a3,54,0
-0.3280531,0.6721703,#81B389,ALM L2/3 IT S100a3,54,0
-0.2857338,0.7257953,#81B389,ALM L2/3 IT S100a3,54,0
-0.3419304,0.6782441,#81B389,ALM L2/3 IT S100a3,54,0
-0.3135772,0.7080399,#81B389,ALM L2/3 IT S100a3,54,0
-0.3341242,0.6726001,#81B389,ALM L2/3 IT S100a3,54,0
-0.2715039,0.7462396,#81B389,ALM L2/3 IT S100a3,54,0
-0.3176655,0.7175974,#81B389,ALM L2/3 IT S100a3,54,0
-0.3192469,0.6647025,#81B389,ALM L2/3 IT S100a3,54,0
-0.3037016,0.6964817,#81B389,ALM L2/3 IT S100a3,54,0
-0.3224903,0.7001768,#81B389,ALM L2/3 IT S100a3,54,0
-0.2482811,0.640317,#81B389,ALM L2/3 IT S100a3,54,0
-0.3048645,0.7422461,#81B389,ALM L2/3 IT S100a3,54,0
-0.2259882,0.7992046,#81B389,ALM L2/3 IT S100a3,54,0
-0.2892498,0.7403075,#81B389,ALM L2/3 IT S100a3,54,0
-0.3349433,0.7159582,#81B389,ALM L2/3 IT S100a3,54,0
-0.2995256,0.7204441,#81B389,ALM L2/3 IT S100a3,54,0
-0.317535,0.6867401,#81B389,ALM L2/3 IT S100a3,54,0
-0.2934754,0.7160351,#81B389,ALM L2/3 IT S100a3,54,0
-0.2518275,0.638305,#81B389,ALM L2/3 IT S100a3,54,0
-0.3204234,0.7092234,#81B389,ALM L2/3 IT S100a3,54,0
-0.4225166,0.5119026,#81B389,ALM L2/3 IT S100a3,54,0
-0.3331099,0.6639679,#81B389,ALM L2/3 IT S100a3,54,0
-0.3256364,0.6509312,#81B389,ALM L2/3 IT S100a3,54,0
-0.2592684,0.6188446,#81B389,ALM L2/3 IT S100a3,54,0
-0.3077803,0.6787012,#81B389,ALM L2/3 IT S100a3,54,0
-0.3696228,0.5345526,#81B389,ALM L2/3 IT S100a3,54,0
-0.290419,0.7349288,#81B389,ALM L2/3 IT S100a3,54,0
-0.3161567,0.7077276,#81B389,ALM L2/3 IT S100a3,54,0
-0.3261997,0.6680931,#81B389,ALM L2/3 IT S100a3,54,0
-0.3189411,0.6981772,#81B389,ALM L2/3 IT S100a3,54,0
-0.283247,0.7244589,#81B389,ALM L2/3 IT S100a3,54,0
-0.3362418,0.701465,#81B389,ALM L2/3 IT S100a3,54,0
-0.4454878,0.515995,#81B389,ALM L2/3 IT S100a3,54,0
-0.3076344,0.6939604,#81B389,ALM L2/3 IT S100a3,54,0
-0.2315728,0.7850302,#81B389,ALM L2/3 IT S100a3,54,0
-0.2906562,0.7341793,#81B389,ALM L2/3 IT S100a3,54,0
-0.2863677,0.7106827,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2327465,0.7642858,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.314612,0.6369673,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2877708,0.679724,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.312558,0.6716951,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.3147628,0.6378988,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.3122255,0.6452636,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2966251,0.7172865,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.227993,0.8000787,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.304546,0.6681714,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2798938,0.684195,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2226255,0.7809103,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.3216698,0.6539136,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2826056,0.730724,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2641478,0.7068924,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2969707,0.6314601,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.3092029,0.6590714,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.3047546,0.6781826,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2404459,0.7537106,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.3170354,0.6543483,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2305841,0.7731791,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2299965,0.7899268,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2321081,0.7727897,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2326087,0.7868491,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.423724,0.4061985,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2993931,0.6564797,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.296924,0.6803136,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2998752,0.6846802,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.3061977,0.6682603,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.3210162,0.6536226,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2902396,0.6858851,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.3194028,0.6604056,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2699179,0.7264421,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.3060017,0.6608173,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.3040329,0.6643831,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.4301524,0.3766758,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.3156827,0.6543328,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.280103,0.6672224,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.3143813,0.6444674,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2633397,0.7177504,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.255193,0.7256679,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2482024,0.7280303,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.4560544,0.3978553,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2603461,0.7420697,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.3057721,0.6659878,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.3094958,0.6523209,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2657026,0.6854187,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.3362516,0.6598311,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.3023291,0.4618512,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.3139335,0.6571963,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2874565,0.668081,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2488493,0.7364839,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.4249565,0.3886159,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2822694,0.7099603,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.3241,0.6459569,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2573565,0.7296563,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2973139,0.6537932,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2802269,0.6854689,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2770211,0.6997771,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2409374,0.7683051,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.3860679,0.4021884,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.294557,0.6976923,#B8FFCA,ALM L2/3 IT Sla,53,0
